REPO,FILE,DEV,MINOR,MAJOR,OWNER_LINES,SMELL_COUNT,SMELL_FLAG
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dhcp/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dhcp/run.yaml,2,0,2,0.94521,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dibipa-debian/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dibipa-debian/post.yaml,2,0,2,0.93333,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dibipa-debian/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-dibipa-debian/run.yaml,2,0,2,0.94521,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-tinyipa/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-tinyipa/post.yaml,2,0,2,0.93333,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-tinyipa/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/legacy/bifrost-integration-tinyipa/run.yaml,4,2,2,0.79268,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/redeploy-dynamic.yaml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/defaults/main.yml,3,1,2,0.86207,4,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/handlers/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/handlers/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/meta/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/meta/main.yml,2,1,1,0.95652,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/main.yml,9,5,4,0.56557,1,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/ssh_public_key_path.yaml,2,1,1,0.96,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/tasks/update_facts_from_ironic.yaml,2,1,1,0.97917,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/vars/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-configdrives-dynamic/vars/main.yml,2,0,2,0.88889,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/defaults/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/meta/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/meta/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/tasks/create_bootable_image.yml,3,0,3,0.46377,1,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-bootable-image/tasks/main.yml,3,1,2,0.66667,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/defaults/main.yml,6,2,4,0.41667,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/meta/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/meta/main.yml,3,1,2,0.65217,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/tasks/main.yml,3,1,2,0.89677,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/vars/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-dib-image/vars/main.yml,2,0,2,0.88889,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/dummy-defaults.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/main.yml,2,1,1,0.95455,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_CentOS.yml,4,1,3,0.76923,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_Debian.yml,3,0,3,0.57143,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_Debian_jessie.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_Fedora.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_RedHat.yml,4,0,4,0.61111,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/defaults/required_defaults_Suse.yml,3,0,3,0.625,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/handlers/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/handlers/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/meta/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/meta/main.yml,2,0,2,0.52174,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/create_vm.yml,5,3,2,0.87342,5,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/main.yml,2,0,2,0.89474,2,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/tasks/prepare_libvirt.yml,7,4,3,0.73026,2,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/vars/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-create-vm-nodes/vars/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/defaults/main.yml,5,4,1,0.81818,1,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/handlers/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/handlers/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/meta/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/meta/main.yml,2,1,1,0.95652,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/tasks/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/tasks/main.yml,9,8,1,0.78302,5,1
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/vars/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-deploy-nodes-dynamic/vars/main.yml,1,0,1,1.0,0,0
/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-ironic-install/defaults/,/home/brokenquark/ostk-ansi/ostk-ansi/bifrost/playbooks/roles/bifrost-ironic-install/defaults/dummy-defaults.yml,1,0,1,1.0,0,0
