MONTH,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,TOTAL
2019-03-09 02:04:17.235770, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/discern/defaults/main.yml,5,0,1,0,0,1,7
2019-03-09 02:04:17.271008, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/discern/tasks/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:17.348848, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/xqwatcher/defaults/main.yml,5,0,0,0,0,0,5
2019-03-09 02:04:17.384651, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/jenkins_worker/defaults/main.yml,1,0,1,0,0,2,4
2019-03-09 02:04:17.398720, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/jenkins_worker/tasks/system.yml,0,0,0,0,2,0,2
2019-03-09 02:04:17.420960, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/datadog/defaults/main.yml,1,0,1,0,0,0,2
2019-03-09 02:04:17.442296, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/xqueue/defaults/main.yml,9,0,0,0,0,0,9
2019-03-09 02:04:17.472957, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/nginx/defaults/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:17.495623, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/shibboleth/defaults/main.yml,3,0,1,0,0,0,4
2019-03-09 02:04:17.517897, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/local_dev/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.548001, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-west/stage-worker.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.613477, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-west/stage-notifier-only.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.742734, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/edx_provision.yml,3,0,0,0,0,0,3
2019-03-09 02:04:17.752276, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/add-ubuntu-key.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.804741, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/remove-ubuntu-key.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.831712, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/edx_notifier.yml,5,0,0,0,0,0,5
2019-03-09 02:04:17.880659, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/ora2.yml,3,0,0,0,0,0,3
2019-03-09 02:04:17.940688, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/edx-east/create_dbs.yml,4,0,0,0,0,0,4
2019-03-09 02:04:17.954664, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/secure_example/vars/edxapp_ref_custom_vars.yml,2,0,0,0,0,0,2
2019-03-09 02:04:18.010905, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/secure_example/vars/edxapp_ref_vars.yml,34,0,0,0,0,0,34
2019-03-09 02:04:18.015911, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/secure_example/vars/edxapp_ref_users.yml,2,0,0,0,0,0,2
2019-03-09 02:04:18.021826, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/secure_example/vars/gerrit.yml,7,0,0,0,0,0,7
2019-03-09 02:04:32.152795, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/pan_demos/vars.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.277774, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/pan_demos/setup_passwd.yml,0,1,0,0,0,0,1
2019-03-09 02:04:32.279080, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/pan_demos/vars-sample.yml,2,0,0,0,0,0,2
